                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2576,                 3.4033,                 3.4508,                  0.771,                0.69511,                0.73267,                0.33087,                 1.9068,                 1.8869,                 2.3237,               0.003316,               0.003316,               0.003316
                      2,                 1.6499,                 1.2425,                 1.7331,                0.90567,                0.80878,                 0.8694,                0.46134,                 1.5165,                 1.1278,                 1.7461,              0.0066274,              0.0066274,              0.0066274
                      3,                 1.4386,                0.92971,                 1.4913,                0.90395,                0.84185,                 0.8896,                0.48023,                 1.5064,                 1.0407,                 1.7932,              0.0099168,              0.0099168,              0.0099168
                      4,                 1.3511,                0.77516,                 1.4006,                0.95994,                0.89854,                 0.9378,                0.58057,                 1.3077,                0.77194,                 1.5378,               0.009901,               0.009901,               0.009901
                      5,                 1.2816,                0.68677,                 1.3397,                0.97656,                0.90555,                0.95084,                0.62486,                 1.2144,                0.63267,                  1.416,               0.009901,               0.009901,               0.009901
                      6,                 1.2408,                0.64409,                 1.3099,                0.97249,                0.90652,                0.95066,                0.63318,                   1.17,                0.59239,                  1.367,               0.009868,               0.009868,               0.009868
                      7,                 1.2174,                0.61951,                 1.2957,                0.95895,                0.91413,                0.94231,                0.63409,                 1.1668,                0.59969,                 1.3579,               0.009835,               0.009835,               0.009835
                      8,                 1.2077,                0.60326,                 1.2809,                0.97714,                0.92663,                0.95739,                0.65541,                 1.1178,                0.51697,                 1.3149,               0.009802,               0.009802,               0.009802
                      9,                 1.1808,                0.58532,                 1.2666,                0.97368,                0.92488,                0.95844,                0.65294,                 1.1344,                0.49678,                 1.3241,               0.009769,               0.009769,               0.009769
                     10,                 1.1836,                  0.576,                 1.2616,                0.97841,                0.92989,                0.96178,                0.65361,                 1.1218,                0.49832,                 1.3141,               0.009736,               0.009736,               0.009736
                     11,                 1.1653,                0.56651,                 1.2547,                0.98498,                0.92644,                0.96141,                0.65912,                 1.1213,                 0.4802,                  1.308,               0.009703,               0.009703,               0.009703
                     12,                 1.1586,                0.54643,                 1.2463,                0.97907,                0.92446,                0.95398,                 0.6496,                 1.1312,                0.48778,                 1.3126,                0.00967,                0.00967,                0.00967
                     13,                 1.1531,                0.54358,                 1.2476,                0.97018,                0.93713,                0.96353,                0.67306,                 1.0958,                0.46384,                 1.2898,               0.009637,               0.009637,               0.009637
                     14,                 1.1528,                 0.5383,                 1.2405,                0.98335,                0.93089,                0.96053,                0.65178,                 1.1544,                0.47744,                 1.3197,               0.009604,               0.009604,               0.009604
                     15,                 1.1389,                0.53203,                 1.2357,                0.97965,                0.94192,                0.96487,                0.67299,                 1.0899,                0.45143,                 1.2784,               0.009571,               0.009571,               0.009571
                     16,                 1.1352,                0.52494,                 1.2354,                0.98246,                0.94377,                0.96317,                0.67724,                 1.0843,                0.43654,                 1.2785,               0.009538,               0.009538,               0.009538
                     17,                 1.1262,                0.51758,                 1.2312,                0.98624,                0.93641,                0.96455,                0.68048,                 1.0808,                0.44316,                 1.2692,               0.009505,               0.009505,               0.009505
                     18,                 1.1299,                 0.5241,                 1.2291,                0.98343,                0.93529,                0.96481,                0.68539,                 1.0857,                0.43036,                 1.2715,               0.009472,               0.009472,               0.009472
                     19,                 1.1221,                0.51394,                 1.2274,                0.97794,                0.94076,                0.96773,                0.68485,                  1.076,                0.43249,                 1.2687,               0.009439,               0.009439,               0.009439
                     20,                 1.1209,                0.51197,                 1.2199,                0.98181,                0.93854,                 0.9662,                0.67472,                 1.0876,                0.43217,                 1.2743,               0.009406,               0.009406,               0.009406
                     21,                 1.1081,                0.50515,                  1.214,                0.98282,                0.94348,                0.96955,                0.68556,                 1.0764,                0.42551,                 1.2635,               0.009373,               0.009373,               0.009373
                     22,                 1.1031,                0.50301,                 1.2141,                0.98442,                0.94402,                0.96968,                 0.6852,                 1.0829,                0.42556,                 1.2717,                0.00934,                0.00934,                0.00934
