                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6653,                 1.5432,                  1.865,                0.77197,                0.55392,                0.61882,                0.25006,                 1.8333,                 1.5213,                 1.8651,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6278,                 1.5141,                 1.8101,                0.77129,                0.57353,                0.63205,                0.30448,                 1.7658,                 1.4401,                 1.8246,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6841,                 1.5479,                 1.8569,                0.79996,                0.58333,                0.62815,                0.26873,                 1.8127,                 1.4586,                 1.8829,               0.001307,               0.001307,               0.001307
                     38,                  1.652,                 1.4876,                 1.8142,                0.84632,                0.59392,                0.68378,                0.29693,                 1.7623,                 1.4033,                 1.8336,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6136,                 1.4433,                  1.789,                0.85906,                0.51961,                 0.6278,                0.29001,                 1.8093,                 1.4471,                 1.8546,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6526,                 1.4557,                 1.8131,                0.88984,                0.55433,                0.68064,                0.30587,                 1.8212,                  1.292,                 1.8959,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.5938,                 1.4083,                 1.7754,                0.83554,                 0.5977,                0.68238,                0.31141,                 1.7834,                 1.3633,                 1.8238,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.5673,                 1.3601,                 1.7618,                0.86154,                0.61765,                0.70692,                0.32032,                  1.756,                 1.2931,                 1.8172,               0.001208,               0.001208,               0.001208
                     43,                 1.5783,                 1.3626,                 1.7542,                0.78844,                0.62115,                0.67269,                0.31445,                 1.7072,                 1.3534,                 1.7908,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.5832,                 1.4236,                 1.7873,                0.85995,                0.58824,                0.69009,                0.30386,                 1.7508,                 1.3305,                 1.8179,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.561,                 1.3552,                 1.7665,                0.87514,                0.64216,                0.69882,                 0.3293,                 1.7462,                 1.2385,                 1.8249,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5994,                 1.3687,                  1.781,                  0.766,                0.57353,                0.67049,                0.31079,                 1.8185,                 1.2975,                 1.8316,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5414,                 1.3249,                 1.7141,                0.86673,                0.56863,                0.68107,                0.31811,                 1.6989,                 1.3801,                 1.8104,               0.001109,               0.001109,               0.001109
                     48,                 1.5281,                 1.3127,                 1.7616,                0.85221,                0.62185,                0.69175,                0.32854,                  1.725,                 1.1998,                 1.8297,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5492,                 1.2951,                 1.7559,                0.95993,                0.57843,                0.71313,                 0.3155,                 1.7856,                 1.2794,                  1.821,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5018,                 1.2575,                 1.7038,                0.82047,                0.63725,                0.69836,                0.32675,                 1.7573,                 1.2246,                 1.8299,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5281,                 1.2634,                 1.7396,                0.77856,                0.63235,                 0.6898,                0.32171,                 1.7268,                 1.1987,                 1.7732,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.516,                 1.2813,                  1.733,                0.86027,                 0.5734,                0.67755,                0.34941,                 1.6657,                 1.2013,                 1.7467,                0.00101,                0.00101,                0.00101
                     53,                 1.5225,                 1.2364,                 1.7323,                0.90069,                0.62745,                0.70565,                0.31311,                 1.7582,                 1.2014,                 1.8014,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4856,                 1.2171,                 1.6851,                0.87549,                0.62042,                0.69801,                0.33987,                 1.7164,                 1.1524,                 1.7898,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4875,                 1.1935,                 1.6793,                0.86139,                0.66176,                0.73387,                0.36734,                 1.6809,                 1.1214,                 1.7476,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5194,                  1.255,                 1.7198,                0.77992,                0.64275,                0.69935,                0.33355,                 1.7578,                 1.1355,                 1.8293,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4885,                 1.2121,                 1.7233,                0.89009,                0.63518,                0.71583,                0.33066,                 1.7777,                 1.1786,                  1.822,               0.000911,               0.000911,               0.000911
                     58,                 1.4739,                 1.1944,                 1.6932,                 0.8718,                0.60001,                0.71657,                0.34738,                 1.6971,                 1.1758,                 1.7694,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4409,                 1.1117,                 1.6463,                0.85804,                0.63235,                0.71151,                0.33789,                 1.7628,                 1.1766,                  1.841,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4769,                 1.1897,                 1.7008,                0.90807,                0.62944,                0.73912,                0.33561,                 1.7419,                 1.1498,                 1.8117,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.446,                 1.1007,                 1.6734,                 0.7856,                0.66458,                0.73688,                0.36346,                 1.6856,                 1.1094,                 1.7789,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4572,                 1.1335,                 1.6876,                0.92612,                0.64706,                0.72518,                0.35917,                 1.7236,                 1.1017,                 1.8085,               0.000812,               0.000812,               0.000812
                     63,                 1.4291,                 1.1128,                  1.643,                0.87475,                0.62745,                 0.7225,                0.34024,                 1.7465,                 1.1471,                 1.8179,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4502,                 1.0871,                 1.6731,                0.83428,                0.67157,                0.73106,                0.35569,                 1.7279,                 1.1125,                 1.7998,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4542,                 1.1239,                 1.6451,                0.90354,                0.62255,                 0.7358,                0.35175,                 1.7151,                 1.0829,                  1.818,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.4145,                 1.0808,                 1.6228,                0.86302,                0.66176,                0.72915,                0.37003,                 1.6584,                 1.0954,                 1.7663,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.4408,                 1.1017,                  1.631,                0.93545,                0.65686,                 0.7585,                0.33634,                 1.8073,                  1.115,                 1.8594,               0.000713,               0.000713,               0.000713
                     68,                 1.4241,                 1.0831,                 1.6268,                0.84674,                0.70414,                0.75752,                0.38545,                 1.6334,                 1.0629,                 1.7275,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4083,                 1.0636,                 1.6274,                0.89371,                 0.6595,                0.75641,                0.36984,                 1.6984,                 1.0741,                 1.7738,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3684,                 1.0371,                 1.5941,                0.92855,                0.63702,                0.75267,                0.37882,                 1.7163,                 1.0892,                 1.7766,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3645,                 1.0054,                 1.5926,                0.89283,                0.65686,                0.75035,                0.33001,                 1.7656,                  1.142,                 1.8941,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3578,                 1.0143,                 1.5862,                0.88508,                0.67959,                0.76534,                0.37085,                 1.6786,                 1.0467,                 1.7723,               0.000614,               0.000614,               0.000614
                     73,                 1.3658,                 1.0035,                 1.5759,                0.89234,                 0.6907,                0.76832,                0.38088,                 1.6475,                 1.0201,                 1.7517,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3919,                 1.0322,                 1.5959,                0.92872,                0.63865,                0.76858,                0.35536,                 1.7027,                 1.0563,                  1.782,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3721,                0.99607,                 1.5549,                0.88614,                0.71078,                0.77227,                0.37609,                 1.7083,                 1.0061,                 1.7852,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.364,                 1.0125,                 1.5719,                0.87669,                0.69118,                0.76751,                0.36385,                 1.7205,                  1.007,                 1.8302,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3665,                0.99213,                 1.5924,                0.81142,                0.73823,                0.78194,                0.40803,                 1.6069,                0.99239,                 1.7208,               0.000515,               0.000515,               0.000515
                     78,                 1.3305,                0.98901,                 1.5701,                0.87501,                0.65202,                0.75166,                0.37009,                 1.6804,                 1.0258,                 1.8071,              0.0004952,              0.0004952,              0.0004952
                     79,                  1.337,                 1.0118,                 1.5503,                0.82481,                0.71078,                0.77257,                0.36006,                 1.6968,                 1.0237,                 1.8273,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3279,                0.94949,                 1.5467,                0.88452,                0.68137,                0.77408,                0.35167,                 1.7424,                 1.0374,                 1.8286,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3283,                 0.9513,                 1.5428,                0.90081,                 0.7123,                0.78812,                0.38591,                 1.6711,                0.96287,                 1.7796,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2996,                0.93837,                 1.5254,                0.85035,                 0.7242,                0.78748,                0.35089,                 1.7561,                 1.0015,                 1.8182,               0.000416,               0.000416,               0.000416
                     83,                 1.3125,                 0.9512,                 1.5425,                0.88344,                0.66877,                 0.7699,                0.39392,                 1.6337,                0.95197,                 1.7852,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2957,                0.93136,                 1.5365,                0.90499,                0.67157,                0.77668,                0.39009,                 1.6413,                0.96873,                 1.7967,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.2828,                0.92142,                  1.482,                0.94078,                0.67647,                0.79897,                0.39628,                 1.6402,                0.96719,                 1.7882,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2817,                 0.9295,                 1.5378,                0.92174,                0.69279,                0.79554,                0.38246,                 1.6742,                0.95127,                 1.8205,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.3032,                0.92304,                 1.5318,                0.85107,                0.72549,                0.79008,                0.37077,                 1.7125,                 1.0022,                 1.8317,               0.000317,               0.000317,               0.000317
                     88,                 1.2882,                0.93176,                 1.5273,                0.85539,                0.72489,                0.79523,                0.39219,                 1.6349,                0.95054,                 1.7475,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2424,                0.88483,                  1.491,                0.85106,                0.72059,                0.80409,                 0.3911,                 1.6552,                0.94022,                 1.7932,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2746,                0.91474,                 1.5149,                 0.8815,                0.72059,                0.79494,                0.37776,                 1.7197,                0.95901,                 1.8349,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1939,                0.80036,                 1.4699,                0.86217,                0.70528,                0.78397,                0.38586,                 1.6718,                0.94732,                 1.8327,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1835,                0.77363,                 1.4746,                0.93362,                 0.6894,                 0.8115,                0.40394,                 1.6447,                0.91412,                 1.7717,               0.000218,               0.000218,               0.000218
                     93,                 1.1877,                0.77511,                 1.4862,                0.90646,                0.71078,                0.80209,                0.37229,                 1.7076,                0.93745,                 1.8448,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1697,                0.75516,                 1.4649,                0.91784,                0.72549,                0.81491,                0.40425,                 1.6642,                0.93882,                 1.8013,              0.0001784,              0.0001784,              0.0001784
                     95,                  1.163,                0.77278,                 1.4565,                0.91434,                0.69118,                0.79471,                0.38534,                 1.6999,                0.95228,                  1.855,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.1455,                 0.7237,                 1.4533,                0.85895,                0.73039,                0.80066,                0.38908,                 1.6858,                0.92848,                 1.8285,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1168,                0.71678,                 1.4222,                0.89953,                0.70222,                 0.8008,                0.41198,                 1.6184,                0.92114,                 1.7772,               0.000119,               0.000119,               0.000119
                     98,                  1.116,                0.72302,                  1.445,                0.84997,                0.72203,                0.79823,                0.39189,                 1.6811,                0.93987,                 1.8416,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.1256,                0.71903,                 1.4476,                0.87453,                0.71753,                0.80667,                0.41174,                 1.6056,                0.91905,                 1.7685,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.1204,                0.70712,                 1.4272,                0.86193,                0.70588,                0.79911,                0.39872,                 1.6588,                0.91911,                 1.8175,               5.96e-05,               5.96e-05,               5.96e-05
