                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6822,                 1.6412,                 1.8371,                 0.8004,                 0.4902,                0.55649,                 0.2347,                 1.7995,                 1.7037,                 1.8389,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.6926,                  1.666,                 1.8458,                0.73263,                 0.5098,                0.57351,                0.26362,                 1.8039,                 1.5304,                 1.8601,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.6679,                  1.588,                 1.8294,                0.74039,                0.53922,                0.61158,                0.29519,                 1.7337,                 1.5206,                 1.7407,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.6954,                 1.5673,                 1.8231,                0.81453,                 0.5382,                0.63029,                0.29158,                 1.6363,                 1.4688,                 1.7249,               0.001307,               0.001307,               0.001307
                     38,                 1.6336,                 1.5255,                 1.7874,                0.86727,                0.51249,                0.61909,                0.29418,                 1.6868,                 1.6269,                 1.7376,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.6331,                 1.5543,                 1.8037,                0.88366,                0.52128,                0.61502,                 0.3073,                 1.7141,                 1.5029,                 1.7563,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.6388,                 1.5427,                 1.7929,                0.77411,                0.58333,                 0.6431,                0.30428,                 1.6732,                 1.4398,                 1.7109,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.6018,                 1.5015,                 1.7914,                  0.823,                0.55392,                0.65074,                0.30956,                 1.6711,                 1.4542,                 1.7246,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.6051,                 1.4869,                 1.7892,                0.84694,                0.56863,                0.63148,                0.28274,                 1.7252,                 1.4327,                 1.8176,               0.001208,               0.001208,               0.001208
                     43,                 1.6264,                 1.4583,                 1.7683,                0.91966,                0.56863,                0.66315,                0.27943,                 1.7634,                 1.5108,                 1.7662,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.6162,                 1.4915,                 1.7717,                0.79809,                0.57843,                 0.6691,                0.32846,                 1.6181,                 1.3211,                 1.7027,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.5555,                 1.4085,                 1.7232,                0.79867,                0.55882,                0.64031,                0.31798,                 1.7301,                 1.3723,                 1.7874,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.5752,                 1.4372,                  1.733,                0.84957,                0.59804,                0.67963,                0.35829,                 1.5708,                  1.335,                 1.6447,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.5356,                 1.3778,                 1.7088,                0.86158,                0.56373,                0.66825,                0.31619,                 1.6851,                 1.3146,                 1.7058,               0.001109,               0.001109,               0.001109
                     48,                 1.5081,                 1.3593,                  1.693,                 0.9035,                0.59665,                0.70055,                0.32665,                 1.6924,                 1.2656,                 1.7216,              0.0010892,              0.0010892,              0.0010892
                     49,                  1.563,                 1.3656,                 1.7267,                  0.814,                0.55777,                0.64619,                0.33607,                 1.6262,                 1.3196,                 1.6738,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5243,                 1.3369,                 1.7042,                0.90745,                0.52941,                 0.6612,                0.30418,                 1.7063,                 1.4356,                 1.7385,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.5206,                 1.3183,                  1.711,                0.85344,                  0.628,                0.71137,                0.32978,                 1.6776,                 1.2461,                 1.7109,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.538,                 1.3236,                 1.7238,                0.86248,                 0.6149,                0.70956,                 0.3113,                 1.7335,                 1.2874,                  1.772,                0.00101,                0.00101,                0.00101
                     53,                 1.5012,                 1.2945,                 1.6774,                0.79254,                0.60784,                0.64964,                0.29853,                 1.7609,                 1.3586,                 1.7685,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.4886,                 1.2872,                 1.6658,                0.84924,                0.61275,                 0.6904,                0.31591,                 1.7317,                  1.277,                 1.7964,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.5237,                 1.3033,                 1.6974,                0.84175,                0.61765,                0.70392,                0.34641,                 1.6594,                 1.2367,                 1.7202,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.5024,                 1.2788,                 1.6942,                0.86513,                0.64216,                0.71224,                0.34557,                 1.6983,                  1.245,                 1.7476,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.5035,                 1.2635,                 1.6711,                0.89276,                0.65296,                0.73761,                0.35857,                 1.6649,                 1.2157,                 1.6942,               0.000911,               0.000911,               0.000911
                     58,                 1.4709,                 1.2026,                 1.6456,                0.86291,                0.61765,                0.70588,                0.36202,                 1.5852,                 1.1833,                 1.6538,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4898,                 1.2073,                 1.6398,                0.82284,                0.65686,                 0.7212,                0.37837,                   1.58,                 1.1603,                 1.6465,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.4652,                 1.2411,                 1.6527,                0.84762,                0.62715,                0.70042,                0.33206,                 1.6481,                  1.224,                 1.7147,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.4413,                 1.1718,                 1.6376,                0.87524,                0.65342,                0.74147,                0.36261,                 1.6246,                 1.1306,                 1.7035,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.4474,                 1.2001,                 1.6405,                 0.9159,                0.65196,                0.73977,                0.35988,                 1.7065,                 1.1118,                 1.7684,               0.000812,               0.000812,               0.000812
                     63,                  1.447,                 1.1628,                 1.6238,                0.87196,                 0.6343,                0.73062,                0.38311,                 1.6146,                 1.1179,                 1.7081,              0.0007922,              0.0007922,              0.0007922
                     64,                  1.456,                 1.1837,                  1.635,                0.91357,                0.62175,                 0.7251,                0.35493,                 1.6946,                 1.1591,                 1.7647,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.4563,                 1.1542,                 1.6406,                0.87266,                0.64216,                0.74661,                0.37668,                 1.6271,                 1.1454,                 1.7151,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3901,                 1.1169,                 1.5912,                0.89181,                0.64653,                0.73673,                0.34977,                 1.6483,                 1.1667,                 1.7274,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.3983,                 1.1049,                 1.6423,                0.92431,                 0.5986,                0.73839,                0.37323,                 1.5889,                 1.1283,                 1.6715,               0.000713,               0.000713,               0.000713
                     68,                 1.4392,                 1.1345,                 1.6403,                0.82752,                0.69608,                0.74944,                0.35679,                 1.7174,                 1.0959,                 1.7882,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.4134,                 1.1016,                 1.5813,                0.85148,                0.67647,                0.73901,                0.36321,                 1.6284,                 1.1824,                  1.658,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3832,                 1.1038,                 1.5912,                0.83757,                0.68251,                0.75193,                0.39335,                 1.6107,                 1.0834,                 1.6623,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3827,                 1.0863,                 1.5767,                0.86592,                0.67157,                0.75977,                0.37239,                 1.6886,                 1.0681,                 1.7546,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.389,                 1.0421,                 1.5808,                0.87356,                0.69608,                0.77352,                0.41298,                 1.5741,                 1.0312,                 1.6316,               0.000614,               0.000614,               0.000614
                     73,                 1.3766,                 1.0518,                 1.5473,                0.84711,                0.70098,                0.75048,                0.37977,                 1.6923,                 1.0754,                 1.7419,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3732,                 1.0684,                 1.5732,                0.85392,                0.66176,                0.75297,                0.39429,                 1.6118,                 1.0661,                 1.6617,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3856,                 1.0703,                 1.5799,                0.94357,                0.61765,                0.73995,                0.36525,                 1.7204,                 1.1311,                 1.7767,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.3814,                 1.0436,                 1.5779,                0.94197,                 0.6366,                0.77894,                0.37214,                 1.6664,                 1.0455,                 1.7035,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3714,                 1.0377,                 1.5534,                0.82364,                0.68682,                0.75685,                0.39003,                 1.6311,                 1.0624,                 1.6822,               0.000515,               0.000515,               0.000515
                     78,                 1.3537,                 1.0284,                 1.5944,                0.90366,                0.66667,                0.76461,                0.38742,                 1.6148,                  1.075,                 1.6545,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.3681,                 1.0526,                 1.5667,                 0.8912,                0.68263,                0.76822,                0.38719,                 1.6285,                 1.0146,                 1.6911,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.3446,                0.99231,                 1.5413,                0.86736,                0.69118,                0.76016,                0.37811,                 1.6493,                 1.0106,                 1.6993,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.3359,                 1.0012,                 1.5434,                0.81949,                0.71215,                0.77314,                0.40064,                  1.655,                0.98878,                  1.702,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.3197,                0.98892,                 1.5438,                 0.8982,                0.70098,                0.78938,                0.40586,                 1.6233,                0.98149,                 1.6955,               0.000416,               0.000416,               0.000416
                     83,                  1.312,                0.98275,                 1.5443,                0.89153,                0.72521,                0.79963,                0.41513,                 1.6219,                0.97843,                 1.6969,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.3045,                0.97855,                 1.5322,                0.88011,                0.72549,                0.80712,                 0.4027,                 1.6164,                0.99193,                 1.6792,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.3081,                0.95942,                 1.5057,                0.87648,                0.67647,                0.77023,                0.38724,                 1.6764,                 1.0363,                 1.7288,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.2803,                0.95766,                 1.4941,                0.88185,                0.69518,                0.77719,                0.39851,                 1.6462,                0.98128,                 1.7085,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.2904,                 0.9452,                 1.5378,                0.88658,                0.68627,                0.76921,                 0.4037,                  1.629,                 1.0092,                 1.7072,               0.000317,               0.000317,               0.000317
                     88,                 1.2807,                0.95364,                 1.4967,                0.87858,                0.67391,                0.77656,                0.39414,                 1.6788,                 0.9941,                  1.758,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.2825,                0.97063,                 1.5135,                0.87906,                0.70098,                0.77972,                0.39755,                 1.6375,                0.96771,                 1.7193,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.2708,                0.92201,                 1.4972,                0.87226,                0.70294,                0.78994,                0.39496,                 1.6417,                0.98036,                 1.7286,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.2238,                 0.8191,                 1.4865,                0.91436,                0.73268,                0.80293,                0.39981,                 1.6635,                0.96114,                 1.7527,              0.0002378,              0.0002378,              0.0002378
                     92,                   1.18,                0.77407,                 1.4531,                0.89198,                0.71078,                0.79694,                0.42246,                 1.5985,                0.97506,                 1.6877,               0.000218,               0.000218,               0.000218
                     93,                 1.1645,                0.78051,                 1.4431,                0.82849,                0.73404,                0.77771,                0.41967,                 1.5875,                0.97064,                 1.6971,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.1874,                0.79042,                 1.4606,                0.89998,                 0.7057,                0.79616,                0.42142,                 1.5879,                0.92599,                 1.6799,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.1514,                0.75992,                 1.4268,                0.85884,                0.71078,                0.78711,                0.41613,                 1.5893,                0.96529,                 1.6891,              0.0001586,              0.0001586,              0.0001586
                     96,                  1.149,                0.74361,                 1.4387,                0.87913,                0.71569,                0.78146,                0.41009,                  1.618,                0.97049,                 1.7358,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.1452,                 0.7585,                  1.423,                0.88454,                0.72059,                0.80131,                0.41416,                 1.6094,                0.95463,                 1.7206,               0.000119,               0.000119,               0.000119
                     98,                 1.1169,                0.72721,                 1.4174,                0.86421,                0.72059,                 0.7893,                0.41212,                 1.6086,                 0.9593,                 1.7236,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                  1.126,                0.73663,                 1.4147,                0.87694,                0.73361,                0.80141,                0.40867,                 1.6319,                0.95793,                  1.728,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.1307,                0.74395,                 1.4066,                0.89015,                0.73039,                0.79489,                0.41372,                 1.6191,                0.93502,                 1.7197,               5.96e-05,               5.96e-05,               5.96e-05
